Alderheim,0,0
Bananaheal,18062,0
Bever,21532,0
Bigjelly,43086,1
Bloxie,62894,4
Bubasita,457736,2
Chan,187131,2
Charmia,54066,1
Christella,0,4
Daenshoo,0,1
Daenshy,0,2
Dregoth,0,2
Druindy,1797,2
Dyrachyo,508502,1
Edmonnd,0,0
Everglow,57200,2
Geniesham,0,4
Getterfour,476033,6
Illasei,138629,1
Iniri,130778,2
Ionize,255022,1
Jarnp,14362,2
Kazgrun,27033,1
Maryhuff,90288,3
Melbaxd,1788,0
Montford,546,4
Morinethar,70830,1
Nightleaf,0,9
Niviri,39866,1
Ovski,0,0
Psykhe,1205413,4
Ridea,20443,4
Rossol,0,1
Shrimpshark,223602,2
Shumy,14362,1
Simplezz,0,1
Smahingbolt,23832,1
Steinberg,9106,3
Storkie,546,1
Stormsnake,7349,5
Sunor,167877,5
Teldelar,0,1
Thorshifter,40620,1
Tlw,16159,2
Windfurytotm,211372,3
Xanadun,61329,1
Yis,52175,1
