output for Psykhe - Zloveleen

total  dmg:220982 cost:1800 hits:762
Whirlwind   dmg:-2381 cost:-50 hits:-2
hit   dmg:3945 cost:0 hits:2

Princess Huhuran   dmg:39479 cost:310 hits:46
Bloodthirst   dmg:4893 cost:60 hits:2
Deep Wound   dmg:-862 cost:0 hits:-2
Execute   dmg:-552 cost:-15 hits:-1
Hamstring   dmg:81 cost:20 hits:2
Heroic Strike   dmg:22418 cost:225 hits:15
Overpower   dmg:-1487 cost:0 hits:-2
Slam   dmg:-1693 cost:-30 hits:-2
Whirlwind   dmg:2703 cost:50 hits:2
hit   dmg:13978 cost:0 hits:32

Princess Yauj   dmg:4494 cost:-5 hits:7
Bloodthirst   dmg:-1351 cost:-30 hits:-1
Cleave   dmg:372 cost:20 hits:1
Deep Wound   dmg:44 cost:0 hits:1
Execute   dmg:3035 cost:30 hits:2
Hamstring   dmg:-36 cost:-10 hits:-1
Heroic Strike   dmg:466 cost:-15 hits:-1
Whirlwind   dmg:629 cost:0 hits:0
hit   dmg:1335 cost:0 hits:6

Qiraji Brainwasher   dmg:-11440 cost:-90 hits:25
Bloodthirst   dmg:-635 cost:0 hits:0
Cleave   dmg:-10564 cost:-120 hits:-7
Deep Wound   dmg:-217 cost:0 hits:5
Execute   dmg:-2447 cost:-15 hits:-1
Heroic Strike   dmg:3021 cost:45 hits:3
Whirlwind   dmg:-1972 cost:0 hits:0
hit   dmg:1374 cost:0 hits:25

Qiraji Scarab   dmg:-2316 cost:-35 hits:-2
Bloodthirst   dmg:-1625 cost:-60 hits:-2
Cleave   dmg:-1648 cost:0 hits:-2
Deep Wound   dmg:199 cost:0 hits:4
Intercept Stun   dmg:6 cost:0 hits:0
Whirlwind   dmg:957 cost:25 hits:2
hit   dmg:-205 cost:0 hits:-4

Qiraji Scorpion   dmg:-2170 cost:-25 hits:1
Bloodthirst   dmg:-1754 cost:-60 hits:-2
Cleave   dmg:-85 cost:0 hits:0
Deep Wound   dmg:27 cost:0 hits:4
Execute   dmg:-983 cost:-15 hits:-1
Intercept Stun   dmg:-38 cost:0 hits:-1
Whirlwind   dmg:1541 cost:50 hits:3
hit   dmg:-878 cost:0 hits:-2

Sartura's Royal Guard   dmg:567 cost:40 hits:18
Bloodthirst   dmg:1598 cost:30 hits:1
Cleave   dmg:-2510 cost:-20 hits:-2
Deep Wound   dmg:-1148 cost:0 hits:-5
Execute   dmg:-2709 cost:-15 hits:-1
Hamstring   dmg:36 cost:10 hits:1
Heroic Strike   dmg:3046 cost:60 hits:4
Intercept Stun   dmg:10 cost:0 hits:0
Whirlwind   dmg:-690 cost:-25 hits:1
hit   dmg:2934 cost:0 hits:19

Spawn of Fankriss   dmg:7531 cost:105 hits:13
Bloodthirst   dmg:1745 cost:30 hits:1
Cleave   dmg:376 cost:20 hits:1
Execute   dmg:1520 cost:30 hits:2
Whirlwind   dmg:682 cost:25 hits:1
hit   dmg:3208 cost:0 hits:8

The Prophet Skeram   dmg:9402 cost:90 hits:50
Bloodthirst   dmg:-5794 cost:-120 hits:-4
Deep Wound   dmg:-782 cost:0 hits:0
Execute   dmg:943 cost:60 hits:4
Heroic Strike   dmg:13529 cost:165 hits:11
Slam   dmg:-1543 cost:-15 hits:-1
Whirlwind   dmg:-1720 cost:0 hits:0
hit   dmg:4769 cost:0 hits:40

Vekniss Borer   dmg:37201 cost:-30 hits:79
Cleave   dmg:-1245 cost:-20 hits:-2
Goblin Sapper Charge   dmg:41130 cost:0 hits:82
Heroic Strike   dmg:467 cost:15 hits:1
Whirlwind   dmg:-2346 cost:-25 hits:-2
hit   dmg:-805 cost:0 hits:0

Vekniss Drone   dmg:-1380 cost:-30 hits:0
Bloodthirst   dmg:243 cost:0 hits:0
Cleave   dmg:570 cost:0 hits:0
Deep Wound   dmg:-239 cost:0 hits:-1
Hamstring   dmg:-147 cost:-30 hits:-3
Whirlwind   dmg:-3854 cost:0 hits:0
hit   dmg:2317 cost:0 hits:13
reflect   dmg:-270 cost:0 hits:-9

Vekniss Guardian   dmg:-11358 cost:-20 hits:11
Bloodthirst   dmg:-1518 cost:-30 hits:-1
Cleave   dmg:-6123 cost:-40 hits:-5
Deep Wound   dmg:-3248 cost:0 hits:-4
Execute   dmg:3390 cost:30 hits:2
Heroic Strike   dmg:2960 cost:45 hits:3
Whirlwind   dmg:-8148 cost:-25 hits:-2
hit   dmg:1449 cost:0 hits:22
reflect   dmg:-120 cost:0 hits:-4

Vekniss Hatchling   dmg:-2647 cost:-25 hits:-1
Cleave   dmg:443 cost:0 hits:1
