Arzetlam,107050,11
Berserkss,1218284,1
Bloxie,1368130,10
Bruceweed,1452077,8
Bubasita,664847,10
Charmia,1765097,7
Daenae,688230,6
Daenshoo,697200,5
Dregoth,414825,8
Druindy,103793,7
Dyrachyo,2168239,6
Everran,1716127,9
Falcula,68848,4
Faradin,1121925,6
Getterfour,2827939,11
Hrin,677785,0
Illasei,1100799,6
Imhungry,200034,7
Iniri,364303,9
Jaekta,2011729,7
Jarnp,83113,6
Killanime,1406919,8
Loyola,131916,10
Lyahsunsworn,0,5
Maryhuff,481170,11
Melevolence,0,0
Mupsi,1080579,8
Paris,1053754,5
Psykhe,1772550,7
Redzeus,892326,9
Rhudaur,244560,4
Rossol,0,11
Salammbo,363866,7
Seath,631578,9
Shumy,892914,9
Smahingbolt,182203,5
Srj,1236110,6
Sunor,1105550,7
Teldelar,318456,6
Tlw,1996097,5
Wicks,912022,5
Windfurytotm,330235,11
Yis,444669,5
